pl_name,hostname,gaia_id,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_massj,ttv_flag,st_refname,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_logg,sy_refname,rastr,ra,decstr,dec,sy_pm,sy_pmra,sy_pmdec,sy_dist,sy_vmag,sy_kmag,sy_gaiamag,rowupdate,pl_pubdate,releasedate
HAT-P-22 b,HAT-P-22,Gaia DR2 846946629987527168,0,2,1,Transit,2010,HATNet,Published Confirmed,0,<a refstr=TURNER_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016MNRAS.459..789T/abstract target=ref>Turner et al. 2016</a>,3.2122312,0.0414,12.106,1.08,2.148,0,<a refstr=TURNER_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016MNRAS.459..789T/abstract target=ref>Turner et al. 2016</a>,,5302.0,,,0.24,[Fe/H],4.36,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h22m43.55s,155.6814593,+50d07m43.36s,50.1287115,87.7253495,-26.1816,83.7273,81.7647,9.763,7.837,9.51936,25/04/2018,2016-06,31/03/2016
HAT-P-22 b,HAT-P-22,Gaia DR2 846946629987527168,0,2,1,Transit,2010,HATNet,Published Confirmed,0,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>,3.21222,0.04142,12.106,1.08,2.172,0,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>,,5302.0,1.04,0.92,0.24,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h22m43.55s,155.6814593,+50d07m43.36s,50.1287115,87.7253495,-26.1816,83.7273,81.7647,9.763,7.837,9.51936,18/03/2019,2017-06,21/03/2019
HAT-P-22 b,HAT-P-22,Gaia DR2 846946629987527168,0,2,1,Transit,2010,HATNet,Published Confirmed,0,<a refstr=MANCINI_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...613A..41M/abstract target=ref>Mancini et al. 2018</a>,3.21223328,0.04171,11.882,1.06,2.192,0,<a refstr=MANCINI_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...613A..41M/abstract target=ref>Mancini et al. 2018</a>,G5 V,5314.0,1.06,0.94,0.3,[Fe/H],4.36,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h22m43.55s,155.6814593,+50d07m43.36s,50.1287115,87.7253495,-26.1816,83.7273,81.7647,9.763,7.837,9.51936,2/12/2019,2018-05,5/12/2019
HAT-P-22 b,HAT-P-22,Gaia DR2 846946629987527168,0,2,1,Transit,2010,HATNet,Published Confirmed,0,<a refstr=BAKOS_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010arXiv1008.3388B/abstract target=ref> Bakos et al. 2010 </a>,3.21222,0.0414,12.106,1.08,2.147,0,<a refstr=BAKOS_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010arXiv1008.3388B/abstract target=ref> Bakos et al. 2010 </a>,G5,5302.0,1.04,0.92,0.24,[Fe/H],4.36,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h22m43.55s,155.6814593,+50d07m43.36s,50.1287115,87.7253495,-26.1816,83.7273,81.7647,9.763,7.837,9.51936,25/04/2018,2011-12,14/05/2014
HAT-P-22 b,HAT-P-22,Gaia DR2 846946629987527168,1,2,1,Transit,2010,HATNet,Published Confirmed,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,3.21222,,12.89,1.15,2.47,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,5302.0,1.11,1.13,0.24,[Fe/H],4.36,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h22m43.55s,155.6814593,+50d07m43.36s,50.1287115,87.7253495,-26.1816,83.7273,81.7647,9.763,7.837,9.51936,25/04/2018,2017-03,26/04/2018
HD 118203 b,HD 118203,Gaia DR2 1560420854826284928,1,1,1,Radial Velocity,2005,Haute-Provence Observatory,Published Confirmed,0,<a refstr=PEPPER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159..243P/abstract target=ref>Pepper et al. 2020</a>,6.134985,0.07071,12.733,1.136,2.166,0,<a refstr=PEPPER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159..243P/abstract target=ref>Pepper et al. 2020</a>,,5683.0,2.1,1.25,0.223,[Fe/H],3.89,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h34m02.39s,203.509956,+53d43m41.48s,53.7281876,116.6279708,-85.8766,-78.9132,92.2589,8.05,6.543,7.89255,5/02/2024,2020-06,5/02/2024
HD 118203 b,HD 118203,Gaia DR2 1560420854826284928,0,1,1,Radial Velocity,2005,Haute-Provence Observatory,Published Confirmed,0,<a refstr=CASTRO_GONZ_AACUTE_LEZ_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240117272C/abstract target=ref>Castro-Gonz&aacute;lez et al. 2024</a>,6.1349847,0.08635,12.061,1.076,2.282,0,<a refstr=CASTRO_GONZ_AACUTE_LEZ_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240117272C/abstract target=ref>Castro-Gonz&aacute;lez et al. 2024</a>,,5872.0,1.99,1.35,0.27,[Fe/H],4.05,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h34m02.39s,203.509956,+53d43m41.48s,53.7281876,116.6279708,-85.8766,-78.9132,92.2589,8.05,6.543,7.89255,5/02/2024,2024-01,5/02/2024
KELT-24 b,KELT-24,Gaia DR2 1076970406751899008,0,1,1,Transit,2019,KELT-North,Published Confirmed,0,<a refstr=HJORTH_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...631A..76H/abstract target=ref>Hjorth et al. 2019</a>,5.55149,0.067,15.244,1.36,4.2,0,<a refstr=HJORTH_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...631A..76H/abstract target=ref>Hjorth et al. 2019</a>,F7,6415.0,1.52,1.3,0.09,[Fe/H],4.18,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h47m38.17s,161.9090273,+71d39m20.62s,71.655727,66.0921869,-56.1837,-34.8076,96.5173,8.34,7.154,8.23752,12/04/2022,2019-11,12/04/2022
KELT-24 b,KELT-24,Gaia DR2 1076970406751899008,1,1,1,Transit,2019,KELT-North,Published Confirmed,0,<a refstr=RODRIGUEZ_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..197R/abstract target=ref>Rodriguez et al. 2019</a>,5.5514926,0.06969,14.258,1.272,5.18,0,<a refstr=RODRIGUEZ_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..197R/abstract target=ref>Rodriguez et al. 2019</a>,,6509.0,1.51,1.46,0.186,[Fe/H],4.25,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h47m38.17s,161.9090273,+71d39m20.62s,71.655727,66.0921869,-56.1837,-34.8076,96.5173,8.34,7.154,8.23752,6/09/2019,2019-11,12/09/2019
WD 1856+534 b,WD 1856+534,Gaia DR2 2146576589564898688,1,3,1,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=VANDERBURG_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020Natur.585..363V/abstract target=ref>Vanderburg et al. 2020</a>,1.4079405,0.0204,10.4,0.928,13.8,0,<a refstr=VANDERBURG_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020Natur.585..363V/abstract target=ref>Vanderburg et al. 2020</a>,,4710.0,0.01,0.52,,,7.92,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h57m39.76s,284.415675,+53d30m32.49s,53.5090244,246.4195939,240.759,-52.514,24.7359,17.244,15.548,16.958,10/12/2020,2020-09,17/12/2020
